source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,portland_bin_count_small,geography_bins,record count,65,0.715074560754769,2.207854088486882e-11,0.6729916199601782,8.193291455545149e-10,0.715074560754769,0.6729916199601782,2.809996112619668e-10,3.584565011801003e-09
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_medium,geography_bins,record count,65,0.7092927048438358,3.766410424273365e-11,0.7316778436612521,4.415685262987649e-12,0.7092927048438358,0.7316778436612521,4.394145494985592e-10,5.151632806818924e-11
OpenElections contributions,2024,all,first_place_votes,same_district_bin_count_small,geography_bins,record count,65,0.6889916684387593,2.227440997816238e-10,0.595315371170933,1.6912287497638196e-07,0.6889916684387593,0.595315371170933,2.3987826130328715e-09,5.637429165879399e-07
OpenElections contributions,2024,all,first_place_votes,oregon_count,geography,record count,65,0.6837178566526187,3.452963976721462e-10,0.7205795582917817,1.3114904232442317e-11,0.6837178566526187,0.7205795582917817,3.2869682229137948e-09,9.663613644957497e-11
OpenElections contributions,2024,all,first_place_votes,cash_count,cash_in_kind,record count,65,0.683477947464063,3.521751667407637e-10,0.7173155301513232,1.788664734756603e-11,0.683477947464063,0.7173155301513232,3.2869682229137948e-09,1.1924431565044022e-10
OpenElections contributions,2024,all,first_place_votes,bin_count_medium,overall_bins,record count,65,0.6817624746932884,4.0530293648961257e-10,0.7280615632540723,6.332532505918378e-12,0.6817624746932884,0.7280615632540723,3.5464006942841103e-09,6.819650390989022e-11
OpenElections contributions,2024,all,first_place_votes,individual_count,individual_business,record count,65,0.6793850300638169,4.916677084703201e-10,0.7143590812103312,2.360380742289569e-11,0.6793850300638169,0.7143590812103312,3.998911603361085e-09,1.4882115339744655e-10
OpenElections contributions,2024,all,first_place_votes,total_record_count,scale,record count,65,0.6788316694737235,5.141457775749966e-10,0.7139813156042446,2.444918948672336e-11,0.6788316694737235,0.7139813156042446,3.998911603361085e-09,1.4882115339744655e-10
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_medium,individual_business_bins,record count,65,0.6776019360190615,5.676513216943047e-10,0.7129592454208533,2.688374508917208e-11,0.6776019360190615,0.7129592454208533,4.182693949326456e-09,1.5682184635350378e-10
OpenElections contributions,2024,all,first_place_votes,bin_amount_medium,overall_bins,dollar amount,65,0.6761787520179111,6.361867483977467e-10,0.7344003648108015,3.3531093163201507e-12,0.6761787520179111,0.7344003648108015,4.406110633932993e-09,4.267593675316555e-11
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_medium,cash_in_kind_bins,record count,65,0.6757008417497894,6.609165950899489e-10,0.7173975885847261,1.7748595442465963e-11,0.6757008417497894,0.7173975885847261,4.406110633932993e-09,1.1924431565044022e-10
OpenElections contributions,2024,all,first_place_votes,portland_count,geography,record count,65,0.6711937481140487,9.437246850844806e-10,0.6495181079152317,4.818796610824144e-09,0.6711937481140487,0.6495181079152317,5.804052861085471e-09,1.984210369162883e-08
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_medium,individual_business_bins,dollar amount,65,0.6710618803582717,9.535229700354702e-10,0.7241681715767601,9.27674465411338e-12,0.6710618803582717,0.7241681715767601,5.804052861085471e-09,7.639672068093372e-11
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_medium,cash_in_kind_bins,dollar amount,65,0.6703475884290816,1.0083013794705364e-09,0.7226237551072131,1.0774472542060286e-11,0.6703475884290816,0.7226237551072131,5.881758046911462e-09,8.380145310491335e-11
OpenElections contributions,2024,all,first_place_votes,same_district_count,geography,record count,65,0.6613829027561048,2.006797657685366e-09,0.6031451206679299,1.0535630923247184e-07,0.6613829027561048,0.6031451206679299,1.1238066883038049e-08,3.597532510377087e-07
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_micro,cash_in_kind_bins,dollar amount,65,0.6521384066929378,3.984357665331112e-09,0.7259336962768448,7.808224042899715e-12,0.6521384066929378,0.7259336962768448,2.145423358255214e-08,7.575877173045408e-11
OpenElections contributions,2024,all,first_place_votes,bin_amount_micro,overall_bins,dollar amount,65,0.648447537385435,5.205342655179558e-09,0.7248768015817508,8.658145340623322e-12,0.648447537385435,0.7248768015817508,2.624326529042923e-08,7.575877173045408e-11
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_micro,individual_business_bins,dollar amount,65,0.6483323232386016,5.248653058085847e-09,0.7250953354381215,8.475465072679008e-12,0.6483323232386016,0.7250953354381215,2.624326529042923e-08,7.575877173045408e-11
OpenElections contributions,2024,all,first_place_votes,portland_bin_count_medium,geography_bins,record count,65,0.6328451492040013,1.5497818582207956e-08,0.6329172993830883,1.542198856644851e-08,0.6328451492040013,0.6329172993830883,7.481705522445219e-08,6.168795426579404e-08
