candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|4|olivia clark,Olivia Clark,4,True,95639.0,,6646.850055085346,12491.149944914654,Fundraising,first_place_votes,0.26124044051056905,19138.0,
2024|4|john toran,John Toran,4,False,180.0,,-1780.8877878328094,2832.8877878328094,Fundraising,first_place_votes,0.26124044051056905,1052.0,
2024|4|ben hufford,Ben Hufford,4,False,49074.17,,5749.969432730966,-4055.969432730966,Fundraising,first_place_votes,0.26124044051056905,1694.0,
2024|1|timur ender,Timur Ender,1,True,,16858.0,16621.068336373028,236.9316636269723,Spending,mentions,0.8177980470929344,,157642.42
2024|1|terrence hayes,Terrence Hayes,1,True,,15967.0,15231.973806150712,735.0261938492877,Spending,mentions,0.8177980470929344,,92626.13
2024|1|loretta smith,Loretta Smith,1,True,,17984.0,22443.05080718276,-4459.050807182761,Spending,mentions,0.8177980470929344,,1464141.21
2024|1|deian salazar,Deian Salazar,1,False,,5262.0,7772.228867532052,-2510.2288675320524,Spending,mentions,0.8177980470929344,,5326.85
2024|1|noah ernst,Noah Ernst,1,True,,11606.0,14098.88439334467,-2492.8843933446697,Spending,mentions,0.8177980470929344,,60028.06
2024|1|joe furi,Joe Furi,1,False,,4070.0,2653.97583478456,1416.02416521544,Spending,mentions,0.8177980470929344,,750.0
2024|1|cayle tern,Cayle Tern,1,False,,9061.0,10143.012847030153,-1082.0128470301534,Spending,mentions,0.8177980470929344,,13202.71
2024|1|thomas shervey,Thomas Shervey,1,False,,3507.0,5491.177619560673,-1984.1776195606726,Spending,mentions,0.8177980470929344,,2223.98
2024|1|steph routh,Steph Routh,1,True,,20440.0,17266.28528192962,3173.7147180703796,Spending,mentions,0.8177980470929344,,201809.37
2024|1|candace avalos,Candace Avalos,1,True,,22267.0,16926.896401204147,5340.103598795853,Spending,mentions,0.8177980470929344,,177221.93
2024|1|david linn,David Linn,1,False,,9324.0,7697.445804907646,1626.5541950923543,Spending,mentions,0.8177980470929344,,5176.49
2024|2|chris olson,Chris Olson,2,False,,7509.0,13421.32551621557,-5912.325516215569,Spending,mentions,0.5015628846190673,,42466.85
2024|2|sam sachs,Sam Sachs,2,False,,2824.0,-3275.8938218357944,6099.893821835794,Spending,mentions,0.5015628846190673,,5480.68
2024|2|debbie kitchin,Debbie Kitchin,2,False,,9088.0,17567.417590162688,-8479.417590162688,Spending,mentions,0.5015628846190673,,70605.48
2024|2|laura streib,Laura Streib,2,False,,4848.0,10711.831359408112,-5863.831359408112,Spending,mentions,0.5015628846190673,,30462.27
